PSB,4013,ADÃO COXA,2079
PV,4303,ADÃO NUNES OWICKI,3109
PT,1355,ADÃO PRETTO(*),70491
PSOL,5055,ADELAR BITHENCOURT ROZIN,825
PSDB,4551,ADEMIR SCHNEIDER,28843
PHS,3107,ADEMIR WILSON DE CESARO,9787
PTB,1431,ADRIANA LARA,333
PMDB,1555,ADROALDO CONZATTI,52253
PT,1348,AFONSO BORGES,501
PP,1166,AFONSO HAMM,65297
PSC,2044,AGIS CARAIBA,788
PSB,4020,AIRTO FERRONATO,3427
PHS,3100,AIRTON CORREA DOS SANTOS,664
PSDB,4558,ALCEU CRESTANI,6843
PDT,1231,ALEXANDRE GONÇALVES HAERTER,2497
PCO,2909,ALFEU GOULART,408
PT do B,7007,ALTAMIR MAGRAO,443
PSB,4077,ANA LÉLIA BELTRAME,1743
PAN,2601,ANA LUCIA DOS SANTOS FISCHER,572
PCO,2907,ANDRÉ BITTENCOURT,194
PSB,4023,ANDRÉ KRYSZCZUN,4838
PHS,3177,ANILDO JUNG,589
PSOL,5000,ANTONIO ARLAN,1896
PSB,4006,ANTONIO CESAR DE SOUZA MENDES,0
PSB,4007,ANTÔNIO FERNANDES DE LIMA,371
PSOL,5088,ANTONIO GERALDO DE SOUZA HENRIQUES FILHO,7698
PV,4311,ANTÔNIO PHILOMENA,8276
PSDB,4588,ANTONIO PINTOS,1970
PTB,1488,ANTÔNIO RICARDO COSTA MÖELER,7960
PSTU,1616,ANTONIO RODRIGUES,1301
PP,1161,ARAUJO BETÃO,585
PT,1330,ARI THESSING,13814
PSOL,5052,ARINO MACIEL,220
PDT,1256,ARMANDO RIBEIRO,932
PP,1115,ARNALDO GERMANO ETCHALUS,1519
PV,4322,BASILIO RAMOS,494
PSOL,5010,BERNADETE MENEZES,3203
PSB,4040,BETO ALBUQUERQUE(*),174774
PDT,1236,BETO MAIOLI,8323
PSOL,5033,CAIO LUSTOSA,539
PTB,1470,CAIO RIELA,30789
PV,4313,CAMARGO DO PV,1990
PMN,3321,CAPITÃO RENAN,1653
PSB,4044,CAPITÃO ZAMBONATO,9375
PV,4312,CARLOS ALBERTO FONTOURA LUIZ,722
PDT,1250,CARLOS CARDINAL,19257
PP,1121,CARLOS TRAMONTINI,11768
PSDB,4527,CARLOTTO,7705
PSOL,5011,CASSIO SILVA MOREIRA,1408
PT,1323,CAUÊ CANABARRO,1898
PMDB,1520,CEZAR SCHIRMER(*),74691
PDT,1214,CILON LIMA,2276
PSB,4022,CIRO MACHADO,867
PSDB,4512,CLAUDIO DIAZ,50131
PSB,4060,CLAUDIO LIMA,1031
PSDB,4501,CLAUDIO SEBENELO,9193
PT,1351,CLODOALDO DA SILVA,1792
PSDB,4566,CORONEL SPARTA,14402
PV,4334,CRISTIANO EDUARDO KRAUSPENHAR,444
PFL,2505,CURURU,20610
PP,1151,D'ARRIGO,5505
PT,1386,DANIEL FONTANA,16258
PSDB,4590,DANIEL MARODIM,2117
PMDB,1502,DARCISIO PERONDI(*),94051
PSTU,1606,DAVI TELES DIETRICH LESSA,0
PL,2200,DÉCIO BECKER,28908
PP,1126,DENIS DIB,10401
PT,1388,DENIS RAFAEL,493
PDT,1244,DR. BASEGIO,52418
PAN,2603,EDIO PEREIRA PERES,394
PTB,1456,EDIR OLIVEIRA(*),36246
PSDB,4545,EDUARDO TRINDADE,13338
PSC,2088,ELIAS DOMINGUES,2107
PV,4309,ELIESER SOUZA,556
PMDB,1566,ELISEU PADILHA(*),140494
PPS,2332,ELTON AUGUSTO DOS SANTOS,341
PV,4320,ELTON TEJADA,594
PT,1311,EMILIA FERNANDES,68828
PDT,1277,ENIO BACCI (*),61524
PSDC,2713,ENIO SOUZA,577
PP,1114,ERICO RIBEIRO (*),32097
PSC,2010,EUCLIDES FRANCISCO,803
PSOL,5060,EUCLIDES ZAMPEZE,1538
PPS,2388,EUGÊNIO RIZZARDO,3015
PSL,1793,FABRICIA NUNES,78
PHS,3131,FALCÃO,1712
PMDB,1517,FATIMA NUNES,2862
PT,1345,FERNANDO MARRONI,70411
PDT,1234,FLÁVIO ZACHER,32599
PV,4310,FONSECA,642
PDT,1255,FRANCISCO BRAGANÇA,1537
PSB,4088,FRANCISCO DA MENSAGEM (KIKO ),3811
PAN,2600,FRANCISCO PACHECO RODRIGUES,1700
PMDB,1551,GAÚCHO DA COPA,11146
PV,4377,GENEZIO MESQUITA VALIM,1709
PSC,2006,GERALDO PASSOS,3804
PFL,2555,GERMANO BONOW,73405
PSDB,4525,GERSON LUIZ DA SILVA (GERSINHO),1335
PPS,2333,GILBERTO PIACENTINI,3636
PP,1101,GILMAR TIETBOHL,5748
PP,1155,GILVAN FONTOURA,4162
PSOL,5005,GIUSEPPE FINCO,1721
PMDB,1540,GIVANILDO CLIPES (GU),2779
PMDB,1515,GUERINO PISONI NETTO,17820
PSB,4080,GUTO POKORSKI,2613
PT,1380,HALLEY LINO DE SOUZA,9880
PV,4321,HAROLDO PEREIRA DA CUNHA,1415
PT,1313,HENRIQUE FONTANA(*),90549
PSC,2008,HERMES ALOISIO,37
